X	Y	Cat
-12.1187903517	17.6313590237	Latin American
5.27932110599	2.51073891409	European
-8.5162831894	18.8679981323	U.S. Recipes
-8.78525492172	-10.6930942355	Latin American
9.38544657837	2.24897254345	Asian
18.3426750601	-1.4079215495	Asian
20.0313087787	-4.5516584977	Asian
20.9380794067	-4.66864286552	Asian
13.3313590452	-8.67806033461	Asian
19.9835086216	-4.40461068952	Asian
18.3330256025	-1.44055798802	Asian
-13.626953762	-3.26552400005	U.S. Recipes
11.4467408469	-15.2740739734	Latin American
-5.98006934516	-24.5977279565	Latin American
-13.6003394621	-2.16321605114	U.S. Recipes
-13.6332279968	-3.23385754265	U.S. Recipes
14.1514873035	-20.8349147436	U.S. Recipes
-14.1433920005	-3.52702234441	U.S. Recipes
23.5580597566	-11.6159244498	U.S. Recipes
14.3619308923	-20.8580308636	U.S. Recipes
-12.8946504513	-2.46277913007	U.S. Recipes
-12.492911051	-5.14496141036	U.S. Recipes
-14.4256439111	-15.4423812985	U.S. Recipes
-16.3706441102	-7.18375367189	U.S. Recipes
-18.7831152613	8.60867162307	U.S. Recipes
15.2678832431	13.1494641952	Latin American
-1.17333814887	-2.14416056409	Latin American
-8.23087968926	-3.17824642684	Latin American
-4.68994492646	-26.0171119547	Latin American
2.62107781964	11.0349943909	Latin American
6.12049047394	14.1762497951	Latin American
2.48912041673	11.0053614355	Latin American
11.1085740286	0.463238854789	Latin American
8.80317892681	4.66966689198	Latin American
-7.42932320572	-2.90168209446	Latin American
-4.64501486804	-26.2598966487	Latin American
-4.03517188809	0.308432214482	U.S. Recipes
14.0184584853	7.45114936232	Latin American
-10.9728787837	-8.20140506118	U.S. Recipes
19.0692095273	-10.449058982	Latin American
11.5357460841	-8.95891735213	Latin American
2.5955000731	11.0815681939	Latin American
-4.48976376377	-19.7656744551	Latin American
-2.96835267824	-23.5095363459	Latin American
20.6746153194	-17.6396366235	Latin American
14.6891380837	-0.192899296316	Latin American
19.46964085	-1.8643037188	Latin American
2.55640863586	11.0696356891	Latin American
-3.78456671552	-22.0189525074	Latin American
-3.23643370668	-25.8383417362	Latin American
6.04870321849	2.16062234174	Latin American
7.63940160865	2.37764392399	Latin American
8.19262227704	10.9781713881	Latin American
9.32481546398	-14.3844240035	Latin American
2.14541077076	-7.75860109794	Latin American
11.9853332348	-9.98560220675	Latin American
7.11771947073	-9.45547990836	Latin American
10.960506789	0.569442289861	Latin American
-5.51863330843	-6.42653249779	Latin American
12.0524501782	16.2908917745	Latin American
-0.873062886754	3.78417361576	Latin American
13.1932157347	-3.67392393081	Latin American
5.93900501609	8.51350119113	Latin American
0.96726985138	2.94088064531	Latin American
16.4900673688	-10.9704968031	Latin American
-3.72076750429	-22.1001197301	Latin American
5.52593643563	3.87822070547	Latin American
7.94516372255	16.924999882	Latin American
10.9810309935	0.31563354061	Latin American
12.2407643406	-1.31124918629	Latin American
13.3494509291	-0.497887123468	Latin American
-1.73733049879	3.18865489486	Latin American
-9.17337878417	-20.3352929603	Latin American
-1.84008727701	-19.7705642443	Latin American
11.6175506107	16.0315447731	Latin American
11.7326506033	11.777644244	Latin American
7.19660231731	16.6289117353	Latin American
0.844221316429	-15.5713582156	Latin American
10.2859380392	11.755086882	Latin American
-3.02035610994	8.59597838132	Latin American
7.35060865017	12.2086256752	Latin American
3.18655813023	10.7211249097	Latin American
2.51903771167	11.1654232555	Latin American
17.4989526484	6.62378575503	Latin American
13.8863773203	13.2665412343	Latin American
-10.9635449988	9.54525766981	Latin American
18.757780479	6.88986683768	Latin American
-1.14243298366	17.655985781	Latin American
-17.4005756928	-11.6578689711	Latin American
-22.5993504181	-9.7806349438	Latin American
-3.79981013944	-26.1918434505	Latin American
7.55856629335	16.5935939835	Latin American
9.28466595381	7.50625394226	Latin American
-11.0099224239	6.12070092562	Latin American
7.38286023433	16.5999102253	Latin American
2.38148415807	-20.3681025967	Latin American
-4.30255874627	5.1988496562	Latin American
